Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree
agathedelili,agathedelili,,0,0,0,0,0,0,0,0
bohemianwoman1,bohemianwoman1,,0,0,0,0,0,0,0,0
sososissi45,sososissi45,,0,0,0,0,0,0,0,0
antmiddleton,antmiddleton,,0,0,0,0,0,0,0,0
psilvertongue2,psilvertongue2,,0,0,0,0,0,0,0,0
nbcnews,nbcnews,,0,0,0,0,0,0,0,0
jenfullick,jenfullick,,0,0,0,0,0,0,0,0
kaylaadams___,kaylaadams___,,0,0,0,0,0,0,0,0
wilderoosje,wilderoosje,,0,0,0,0,0,0,0,0
ceejervis,ceejervis,,0,0,0,0,0,0,0,0
pagesix,pagesix,,0,0,0,0,7,10,0,10
joerg_is_back,joerg_is_back,,0,0,0,0,0,0,0,0
nayelyspring910,nayelyspring910,,0,0,0,0,0,0,0,0
bonnielatino,bonnielatino,,0,0,0,0,0,0,0,0
iitony7,iitony7,,0,0,0,0,0,0,0,0
tory_abbey,tory_abbey,,0,0,0,0,0,0,0,0
nicola_willow,nicola_willow,,0,0,0,0,0,0,0,0
sschristensen,sschristensen,,0,0,0,0,0,0,0,0
lande007,lande007,,0,0,0,0,0,0,0,0
tellitl66077922,tellitl66077922,,5,0.314286,0.419697,28,9,1,6,7
royal_suitor,royal_suitor,,0,0,0,0,7,3,0,3
megtungstengold,megtungstengold,,0,0,0,0,0,0,0,0
meghanmood,meghanmood,,0,0,0,0,1,2,0,2
meghanmarkle,meghanmarkle,,0,0,0,0,0,0,0,0
esmerel44191850,esmerel44191850,,0,0,0,0,0,0,0,0
marypkarnes,marypkarnes,,0,0,0,0,0,0,0,0
louloula10,louloula10,,0,0,0,0,15,3,0,3
pererasamdhan,pererasamdhan,,0,0,0,0,0,0,0,0
tompeck,tompeck,,0,0,0,0,0,0,0,0
jboyded,jboyded,,0,0,0,0,0,0,0,0
theblogard,theblogard,,0,0,0,0,0,0,0,0
jjjj89993102,jjjj89993102,,0,0,0,0,0,0,0,0
googlesearchc,googlesearchc,,0,0,0,0,0,0,0,0
kathyrinkes,kathyrinkes,,0,0,0,0,0,0,0,0
nypost,nypost,,0,0,0,0,15,3,0,3
sudskawanda,sudskawanda,,0,0,0,0,0,0,0,0
madukes529,madukes529,,0,0,0,0,0,0,0,0
victimofcypgov,victimofcypgov,,0,0,0,0,0,0,0,0
marymacelveen,marymacelveen,,0,0,0,0,0,0,0,0
murky__meg,murky__meg,,0,0,0,0,1,8,0,8
wsen07128897,wsen07128897,,1,1,1,0,13,0,3,3
syrophoenesian,syrophoenesian,,0,0,0,0,0,0,0,0
willieruthwill1,willieruthwill1,,0,0,0,0,0,0,0,0
juliewi74303676,juliewi74303676,,0,0,0,0,0,0,0,0
cktweeet,cktweeet,,0,0,0,0,0,0,0,0
herandu,herandu,,0,0,0,0,0,0,0,0
tulippenney,tulippenney,,0,0,0,0,0,0,0,0
theissue27,theissue27,,0,0,0,0,0,0,0,0
cosette31398758,cosette31398758,,0,0,0,0,0,0,0,0
owensmarian7,owensmarian7,,2,0.75,0.833333,0,17,0,2,2
huffpost,huffpost,,0,0,0,0,0,0,0,0
groger2002,groger2002,,0,0,0,0,0,0,0,0
tvkhaleesi,tvkhaleesi,,0,0,0,0,0,0,0,0
sextondickson,sextondickson,,0,0,0,0,0,0,0,0
hackneyblack,hackneyblack,,0,0,0,0,0,0,0,0
prince_latest,prince_latest,,0,0,0,0,0,0,0,0
conquersalllove,conquersalllove,,5,0.342342,0.4,0,9,0,2,2
suzyyoung24,suzyyoung24,,0,0,0,0,0,0,0,0
ynotjones,ynotjones,,0,0,0,0,0,0,0,0
nannydeb79,nannydeb79,,1,1,1,0,1,0,1,1
remisagoodboy,remisagoodboy,,0,0,0,0,0,0,0,0
truthmatters333,truthmatters333,,0,0,0,0,0,0,0,0
olive2802,olive2802,,0,0,0,0,0,0,0,0
robert02854791,robert02854791,,0,0,0,0,0,0,0,0
bkoblischek,bkoblischek,,0,0,0,0,0,0,0,0
lovecambridges_,lovecambridges_,,0,0,0,0,0,0,0,0
0724mkc,0724mkc,,0,0,0,0,0,0,0,0
citygirl684,citygirl684,,0,0,0,0,0,0,0,0
jgjerdrum,jgjerdrum,,0,0,0,0,0,0,0,0
necornilius,necornilius,,0,0,0,0,0,0,0,0
1tech4,1tech4,,1,1,1,0,17,0,5,5
gsgtheoriginal,gsgtheoriginal,,0,0,0,0,0,0,0,0
wiltsmoonraker,wiltsmoonraker,,0,0,0,0,0,0,0,0
sloyoroll01973,sloyoroll01973,,0,0,0,0,0,0,0,0
estherclimate,estherclimate,,0,0,0,0,0,0,0,0
iam_myraj,iam_myraj,,0,0,0,0,0,0,0,0
sussexsupremacy,sussexsupremacy,,0,0,0,0,0,0,0,0
americankat62,americankat62,,0,0,0,0,0,0,0,0
buglugg,buglugg,,0,0,0,0,0,0,0,0
ladynegrita2,ladynegrita2,,0,0,0,0,0,0,0,0
mrjustsaying,mrjustsaying,,1,1,1,0,16,0,2,2
things_royal,things_royal,,0,0,0,0,16,2,0,2
kristenmeinzer,kristenmeinzer,,0,0,0,0,0,0,0,0
faith_first1,faith_first1,,0,0,0,0,0,0,0,0
veroniquekambag,veroniquekambag,,0,0,0,0,0,0,0,0
catloverirene,catloverirene,,0,0,0,0,0,0,0,0
russpurdie,russpurdie,,0,0,0,0,0,0,0,0
schwabbum,schwabbum,,0,0,0,0,0,0,0,0
joshjay1969,joshjay1969,,0,0,0,0,0,0,0,0
hooliganleather,hooliganleather,,0,0,0,0,0,0,0,0
mizzyii,mizzyii,,1,1,1,0,7,0,2,2
thetalkcbs,thetalkcbs,,0,0,0,0,0,0,0,0
crsmith51,crsmith51,,0,0,0,0,0,0,0,0
people,people,,0,0,0,0,13,4,0,4
arvind029,arvind029,,0,0,0,0,0,0,0,0
livelawindia,livelawindia,,0,0,0,0,0,0,0,0
ellensmomma,ellensmomma,,1,1,1,0,2,0,1,1
sarahtheduchess,sarahtheduchess,,0,0,0,0,0,0,0,0
theshiralee,theshiralee,,0,0,0,0,0,0,0,0
thesting17,thesting17,,0,0,0,0,0,0,0,0
johnmiller,johnmiller,,0,0,0,0,0,0,0,0
justice59040798,justice59040798,,2,0.8,0.875,0,13,0,3,3
farah07595123,farah07595123,,0,0,0,0,0,0,0,0
cbsnewspath,cbsnewspath,,0,0,0,0,0,0,0,0
avalonemory,avalonemory,,0,0,0,0,0,0,0,0
royalystrategic,royalystrategic,,0,0,0,0,1,1,0,1
andrews29john,andrews29john,,0,0,0,0,0,0,0,0
gmb,gmb,,0,0,0,0,10,0,0,0
alison_j,alison_j,,0,0,0,0,11,0,0,0
debbie04489238,debbie04489238,,0,0,0,0,0,0,0,0
mattylad,mattylad,,0,0,0,0,0,0,0,0
str8talkin88,str8talkin88,,1,1,1,0,7,0,3,3
thefoxholenews,thefoxholenews,,0,0,0,0,0,0,0,0
brexitbassist,brexitbassist,,0,0,0,0,0,0,0,0
kennn21710790,kennn21710790,,0,0,0,0,0,0,0,0
salty_duchess,salty_duchess,,1,1,1,2,15,1,1,2
yayamathilde,yayamathilde,,0,0,0,0,0,0,0,0
allan3_marshall,allan3_marshall,,0,0,0,0,0,0,0,0
jhootha_chal,jhootha_chal,,0,0,0,0,0,0,0,0
february1316,february1316,,5,0.318584,0.387037,108,9,1,3,4
whendreamscome,whendreamscome,,1,1,1,29,1,2,6,8
hotpage_news,hotpage_news,,0,0,0,0,0,0,0,0
okmagazine,okmagazine,,0,0,0,0,0,0,0,0
iteachlilpeople,iteachlilpeople,,0,0,0,0,0,0,0,0
oprah,oprah,,0,0,0,0,9,1,0,1
sonkonews,sonkonews,,0,0,0,0,0,0,0,0
laurel12171,laurel12171,,0,0,0,0,0,0,0,0
paulapplewood1,paulapplewood1,,0,0,0,0,0,0,0,0
twistedties,twistedties,,4,0.371795,0.431034,360.5,9,9,3,12
franked1967,franked1967,,0,0,0,0,0,0,0,0
trailer_swift69,trailer_swift69,,0,0,0,0,0,0,0,0
domnicholls,domnicholls,,0,0,0,0,0,0,0,0
winifredlovatt,winifredlovatt,,0,0,0,0,0,0,0,0
skynewsaust,skynewsaust,,0,0,0,0,0,0,0,0
loopylala101,loopylala101,,2,0.8,0.875,0,0,0,3,3
lemondrop49,lemondrop49,,0,0,0,0,0,0,0,0
emmara70,emmara70,,0,0,0,0,0,0,0,0
thismorning,thismorning,,0,0,0,0,0,0,0,0
etcanada,etcanada,,0,0,0,0,17,3,0,3
judymorris3,judymorris3,,0,0,0,0,0,0,0,0
lillisawyer17,lillisawyer17,,0,0,0,0,0,0,0,0
shaheen05183404,shaheen05183404,,1,1,1,0,1,0,2,2
fiffywm,fiffywm,,0,0,0,0,0,0,0,0
phildampier,phildampier,,0,0,0,0,0,0,0,0
ebendavid5,ebendavid5,,0,0,0,0,0,0,0,0
hitechgurus,hitechgurus,,0,0,0,0,0,0,0,0
edcomedian,edcomedian,,0,0,0,0,0,0,0,0
hrh_spice,hrh_spice,,0,0,0,0,0,0,0,0
markle_team,markle_team,,0,0,0,0,0,0,0,0
robinpersaud9,robinpersaud9,,0,0,0,0,0,0,0,0
sarahthomson18,sarahthomson18,,0,0,0,0,0,0,0,0
romulo74310539,romulo74310539,,0,0,0,0,0,0,0,0
wafexchange,wafexchange,,0,0,0,0,0,0,0,0
lizyoun55179126,lizyoun55179126,,0,0,0,0,0,0,0,0
gayleking,gayleking,,0,0,0,0,1,2,0,2
lanaf59,lanaf59,,0,0,0,0,0,0,0,0
sussexsquadpod,sussexsquadpod,,6,0.246667,0.285135,74,3,1,1,2
stuwaite,stuwaite,,0,0,0,0,0,0,0,0
dickersondene,dickersondene,,0,0,0,0,0,0,0,0
aloha77usa,aloha77usa,,0,0,0,0,0,0,0,0
storyhaikutanka,storyhaikutanka,,0,0,0,0,0,0,0,0
kira_clarke,kira_clarke,,0,0,0,0,0,0,0,0
sussex_sa,sussex_sa,,0,0,0,0,0,0,0,0
duchessmeghn,duchessmeghn,,0,0,0,0,0,0,0,0
fairsociety3,fairsociety3,,1,1,1,0,15,0,3,3
roguehorsedeal,roguehorsedeal,,0,0,0,0,0,0,0,0
jazmak99,jazmak99,,0,0,0,0,0,0,0,0
talalalmaghrabi,talalalmaghrabi,,0,0,0,0,0,0,0,0
euro_paddy,euro_paddy,,0,0,0,0,0,0,0,0
flavellg,flavellg,,0,0,0,0,0,0,0,0
natasha_lass,natasha_lass,,0,0,0,0,0,0,0,0
starcaron,starcaron,,0,0,0,0,0,0,0,0
jackiesussex,jackiesussex,,0,0,0,0,0,0,0,0
arayaromaz,arayaromaz,,0,0,0,0,0,0,0,0
todayshow,todayshow,,0,0,0,0,12,0,0,0
raosnaps,raosnaps,,0,0,0,0,0,0,0,0
lfrimaire,lfrimaire,,0,0,0,0,0,0,0,0
valkeip1,valkeip1,,0,0,0,0,0,0,0,0
contakk,contakk,,0,0,0,0,0,0,0,0
colombesirene,colombesirene,,1,1,1,0,7,0,1,1
milocheshire,milocheshire,,0,0,0,0,0,0,0,0
bridgebotherer,bridgebotherer,,0,0,0,0,0,0,0,0
creativemf,creativemf,,0,0,0,0,0,0,0,0
ellenbarkin,ellenbarkin,,0,0,0,0,0,0,0,0
hrrysgreysuit,hrrysgreysuit,,0,0,0,0,0,0,0,0
celebitchy,celebitchy,,0,0,0,0,0,0,0,0
dhivehibin,dhivehibin,,0,0,0,0,0,0,0,0
jimmy_1975,jimmy_1975,,0,0,0,0,0,0,0,0
smellyfarts9,smellyfarts9,,0,0,0,0,0,0,0,0
ditzy771,ditzy771,,0,0,0,0,0,0,0,0
tystakedaily,tystakedaily,,0,0,0,0,0,0,0,0
swp25695,swp25695,,0,0,0,0,0,0,0,0
saneisha5,saneisha5,,0,0,0,0,0,0,0,0
troubleshade,troubleshade,,0,0,0,0,13,3,0,3
anmol3,anmol3,,0,0,0,0,0,0,0,0
sollunna,sollunna,,0,0,0,0,0,0,0,0
fredganza7,fredganza7,,3,0.390244,0.46875,13.5,13,1,3,4
kazzyp75,kazzyp75,,0,0,0,0,0,0,0,0
ok_magazine,ok_magazine,,0,0,0,0,15,3,0,3
catmorrin,catmorrin,,0,0,0,0,0,0,0,0
sabirahlohn,sabirahlohn,,0,0,0,0,0,0,0,0
elizabe41532076,elizabe41532076,,0,0,0,0,0,0,0,0
galaxybrainbec,galaxybrainbec,,0,0,0,0,0,0,0,0
sallamoon1,sallamoon1,,0,0,0,0,0,0,0,0
fragglechocdrop,fragglechocdrop,,1,1,1,0,15,0,1,1
suezeta,suezeta,,0,0,0,0,0,0,0,0
sandra_haith,sandra_haith,,0,0,0,0,0,0,0,0
legstasha,legstasha,,0,0,0,0,0,0,0,0
su_broo,su_broo,,0,0,0,0,0,0,0,0
charles68431225,charles68431225,,0,0,0,0,0,0,0,0
agatakoz4,agatakoz4,,0,0,0,0,0,0,0,0
hakunathefcknot,hakunathefcknot,,0,0,0,0,0,0,0,0
twig1946,twig1946,,0,0,0,0,0,0,0,0
lmnysf,lmnysf,,0,0,0,0,0,0,0,0
meanmusings,meanmusings,,0,0,0,0,0,0,0,0
mackette52,mackette52,,1,1,1,0,1,0,3,3
fibutton,fibutton,,0,0,0,0,0,0,0,0
henkiebarbin,henkiebarbin,,0,0,0,0,0,0,0,0
privateparts16,privateparts16,,1,1,1,0,1,0,2,2
eviey,eviey,,0,0,0,0,0,0,0,0
mdouglas156,mdouglas156,,0,0,0,0,0,0,0,0
theshawrus,theshawrus,,0,0,0,0,0,0,0,0
deelightri,deelightri,,0,0,0,0,0,0,0,0
bombaybevo,bombaybevo,,0,0,0,0,0,0,0,0
2tall4u2,2tall4u2,,0,0,0,0,0,0,0,0
quiscustodis,quiscustodis,,0,0,0,0,0,0,0,0
thefatmansrant,thefatmansrant,,0,0,0,0,0,0,0,0
alastairbruce_,alastairbruce_,,0,0,0,0,0,0,0,0
stephhawk8,stephhawk8,,0,0,0,0,0,0,0,0
mswazi187,mswazi187,,0,0,0,0,0,0,0,0
slwilliams1101,slwilliams1101,,0,0,0,0,0,0,0,0
lovewinningnow,lovewinningnow,,1,1,1,0,13,0,1,1
marvawi15791422,marvawi15791422,,0,0,0,0,0,0,0,0
laureng38692290,laureng38692290,,0,0,0,0,0,0,0,0
_peterhunt,_peterhunt,,0,0,0,0,13,3,0,3
krystalbal1,krystalbal1,,0,0,0,0,0,0,0,0
darcy_mcrae,darcy_mcrae,,1,1,1,3,17,3,1,4
stephanaghaagha,stephanaghaagha,,0,0,0,0,0,0,0,0
edwina_anne,edwina_anne,,1,1,1,1,0,1,1,2
alisont55793979,alisont55793979,,0,0,0,0,0,0,0,0
aoxxi23,aoxxi23,,0,0,0,0,0,0,0,0
slpng_giants,slpng_giants,,0,0,0,0,0,0,0,0
leah03706403,leah03706403,,0,0,0,0,0,0,0,0
oneripetomato,oneripetomato,,0,0,0,0,14,0,0,0
carloshugueney,carloshugueney,,0,0,0,0,0,0,0,0
princeharryofengland,princeharryofengland,,0,0,0,0,0,0,0,0
mysticmovieprod,mysticmovieprod,,0,0,0,0,0,0,0,0
justme4now0,justme4now0,,0,0,0,0,0,0,0,0
ishenarobinson,ishenarobinson,,0,0,0,0,0,0,0,0
thetoadours,thetoadours,,0,0,0,0,0,0,0,0
scoutderden,scoutderden,,0,0,0,0,0,0,0,0
slickdame,slickdame,,0,0,0,0,0,0,0,0
rlessary,rlessary,,0,0,0,0,0,0,0,0
miss_lucinda_,miss_lucinda_,,0,0,0,0,0,0,0,0
lannickhoang,lannickhoang,,0,0,0,0,0,0,0,0
supa20101,supa20101,,0,0,0,0,0,0,0,0
blacknproud365,blacknproud365,,0,0,0,0,0,0,0,0
fawn1026,fawn1026,,0,0,0,0,0,0,0,0
enews,enews,,0,0,0,0,7,3,0,3
robsmit77789957,robsmit77789957,,0,0,0,0,0,0,0,0
boxmontessori,boxmontessori,,0,0,0,0,0,0,0,0
pa,pa,,0,0,0,0,0,0,0,0
froonze1,froonze1,,0,0,0,0,0,0,0,0
kirty_dwh,kirty_dwh,,0,0,0,0,0,0,0,0
realcandaceo,realcandaceo,,0,0,0,0,0,0,0,0
sw33t_mind,sw33t_mind,,0,0,0,0,0,1,0,1
ma_pennell,ma_pennell,,1,1,1,0,1,0,1,1
sammieg81020800,sammieg81020800,,0,0,0,0,0,0,0,0
banterm42404691,banterm42404691,,0,0,0,0,0,0,0,0
crusaiderpatri1,crusaiderpatri1,,0,0,0,0,0,0,0,0
advocatecal,advocatecal,,0,0,0,0,0,0,0,0
wbla2310,wbla2310,,0,0,0,0,0,0,0,0
sajeeves2,sajeeves2,,0,0,0,0,0,0,0,0
madfontes,madfontes,,0,0,0,0,0,0,0,0
helenmc46972890,helenmc46972890,,0,0,0,0,0,0,0,0
followerscarol,followerscarol,,0,0,0,0,0,0,0,0
spiritofbellamy,spiritofbellamy,,0,0,0,0,0,0,0,0
realhumptyb,realhumptyb,,1,1,1,0,7,0,2,2
victoriaarbiter,victoriaarbiter,,0,0,0,0,7,3,0,3
perlaperlz1,perlaperlz1,,0,0,0,0,0,0,0,0
chiaa96,chiaa96,,0,0,0,0,0,0,0,0
samuelkofficial,samuelkofficial,,0,0,0,0,0,0,0,0
carolyn01624551,carolyn01624551,,1,1,1,0,7,0,3,3
jess_simpson645,jess_simpson645,,0,0,0,0,0,0,0,0
bobmca1,bobmca1,,0,0,0,0,0,0,0,0
nean61170806,nean61170806,,0,0,0,0,0,0,0,0
mailplus,mailplus,,0,0,0,0,0,0,0,0
robinsky1600,robinsky1600,,0,0,0,0,0,0,0,0
traceywebsterr,traceywebsterr,,0,0,0,0,0,0,0,0
labourwhips,labourwhips,,0,0,0,0,0,0,0,0
clarksprecious,clarksprecious,,0,0,0,0,0,0,0,0
wivinembala,wivinembala,,0,0,0,0,0,0,0,0
steph_tarling,steph_tarling,,0,0,0,0,0,0,0,0
bernywilkinson,bernywilkinson,,0,0,0,0,0,0,0,0
mnaturallife,mnaturallife,,0,0,0,0,0,0,0,0
taylormayda,taylormayda,,0,0,0,0,0,0,0,0
graceandthanks,graceandthanks,,0,0,0,0,0,0,0,0
iamdavidbudd,iamdavidbudd,,0,0,0,0,0,0,0,0
48sezza,48sezza,,0,0,0,0,0,0,0,0
gopirai13,gopirai13,,0,0,0,0,0,0,0,0
tdsb,tdsb,,0,0,0,0,0,0,0,0
ajtehbest,ajtehbest,,0,0,0,0,0,0,0,0
carolynyoing,carolynyoing,,0,0,0,0,0,0,0,0
ritabwunicef,ritabwunicef,,0,0,0,0,0,0,0,0
lennybow,lennybow,,0,0,0,0,0,0,0,0
cleareddirect2,cleareddirect2,,0,0,0,0,0,0,0,0
politecity1,politecity1,,0,0,0,0,0,0,0,0
friendbearx,friendbearx,,0,0,0,0,0,0,0,0
kategreville,kategreville,,0,0,0,0,0,0,0,0
sophiaj81041659,sophiaj81041659,,0,0,0,0,0,0,0,0
annic420,annic420,,0,0,0,0,0,0,0,0
risingsussex,risingsussex,,0,0,0,0,0,0,0,0
juliuslumsden1,juliuslumsden1,,0,0,0,0,0,0,0,0
scottie_36,scottie_36,,0,0,0,0,0,0,0,0
lordhthegreath1,lordhthegreath1,,2,0.666667,0.75,0,3,0,3,3
tarla_lambert,tarla_lambert,,0,0,0,0,0,0,0,0
reynolds57,reynolds57,,0,0,0,0,0,0,0,0
yddraiggoch12,yddraiggoch12,,0,0,0,0,0,0,0,0
msabq323,msabq323,,0,0,0,0,0,0,0,0
bindiasibs,bindiasibs,,0,0,0,0,0,0,0,0
saglas297,saglas297,,0,0,0,0,0,2,0,2
julesdelavasico,julesdelavasico,,0,0,0,0,0,0,0,0
rupertamargate,rupertamargate,,0,0,0,0,9,2,0,2
cpooooooo,cpooooooo,,0,0,0,0,0,0,0,0
republic,republic,,0,0,0,0,0,0,0,0
ukroyaltea,ukroyaltea,,0,0,0,0,0,0,0,0
sparklemeghan,sparklemeghan,,0,0,0,0,0,0,0,0
gwfs21,gwfs21,,0,0,0,0,0,0,0,0
elliewhite75,elliewhite75,,0,0,0,0,0,0,0,0
marie62100602,marie62100602,,0,0,0,0,0,0,0,0
manjit89230332,manjit89230332,,0,0,0,0,0,0,0,0
gma,gma,,0,0,0,0,0,0,0,0
bkmalegamwala,bkmalegamwala,,0,0,0,0,0,0,0,0
misslexusgee,misslexusgee,,0,0,0,0,0,0,0,0
dbrown99944,dbrown99944,,0,0,0,0,0,0,0,0
breathwild2,breathwild2,,0,0,0,0,0,0,0,0
redpilledmommy,redpilledmommy,,0,0,0,0,0,0,0,0
cbg_photos,cbg_photos,,0,0,0,0,0,0,0,0
ground_app,ground_app,,0,0,0,0,0,0,0,0
lanyiadr,lanyiadr,,0,0,0,0,0,0,0,0
jodiannegriffin,jodiannegriffin,,0,0,0,0,0,0,0,0
ladycolincampb,ladycolincampb,,0,0,0,0,0,0,0,0
humptyd49831913,humptyd49831913,,0,0,0,0,0,0,0,0
soletiole2912,soletiole2912,,0,0,0,0,0,0,0,0
thehappyduo,thehappyduo,,0,0,0,0,0,0,0,0
diannep36111640,diannep36111640,,0,0,0,0,0,0,0,0
stuartmblatch,stuartmblatch,,0,0,0,0,0,0,0,0
noqualifydwomyn,noqualifydwomyn,,0,0,0,0,0,0,0,0
katiephang,katiephang,,0,0,0,0,0,0,0,0
imsobrexcited,imsobrexcited,,0,0,0,0,0,0,0,0
cassandrarules,cassandrarules,,0,0,0,0,0,0,0,0
niniane19,niniane19,,0,0,0,0,0,0,0,0
hopeuno,hopeuno,,0,0,0,0,0,0,0,0
gracielamphee,gracielamphee,,0,0,0,0,0,0,0,0
hhamaschiach,hhamaschiach,,2,0.666667,0.75,0,9,0,2,2
henrypersephone,henrypersephone,,3,0.571429,0.708333,2,15,1,2,3
icur_here2,icur_here2,,0,0,0,0,0,0,0,0
nehpazojarchieh,nehpazojarchieh,,1,1,1,6,15,1,3,4
theonionwalks,theonionwalks,,0,0,0,0,0,0,0,0
ellson_kim,ellson_kim,,0,0,0,0,0,0,0,0
spascoallima,spascoallima,,0,0,0,0,0,0,0,0
stephenpdawson,stephenpdawson,,0,0,0,0,0,0,0,0
cbsthismorning,cbsthismorning,,0,0,0,0,0,0,0,0
judylynnwhelan,judylynnwhelan,,0,0,0,0,0,0,0,0
truthwinning,truthwinning,,0,0,0,0,0,0,0,0
wilnottwilight,wilnottwilight,,2,0.666667,0.75,0,15,0,3,3
todiary,todiary,,1,1,1,0,16,0,2,2
sukiweeks,sukiweeks,,0,0,0,0,16,5,0,5
aaron8terry,aaron8terry,,0,0,0,0,0,0,0,0
bookedbusy,bookedbusy,,0,0,0,0,0,0,0,0
ivonvines,ivonvines,,0,0,0,0,0,0,0,0
calluna66,calluna66,,0,0,0,0,0,0,0,0
ctv,ctv,,0,0,0,0,0,0,0,0
11networkau,11networkau,,0,0,0,0,0,0,0,0
minithemoocher,minithemoocher,,0,0,0,0,0,0,0,0
mumbikaptere,mumbikaptere,,0,0,0,0,0,0,0,0
tcsummerfield,tcsummerfield,,0,0,0,0,0,0,0,0
arrestun1,arrestun1,,0,0,0,0,0,0,0,0
katyremington1,katyremington1,,0,0,0,0,0,0,0,0
ginamcgalliard,ginamcgalliard,,0,0,0,0,0,0,0,0
kathlovestennis,kathlovestennis,,0,0,0,0,0,0,0,0
edwina_b,edwina_b,,0,0,0,0,0,0,0,0
just_jo,just_jo,,0,0,0,0,0,0,0,0
kellymariebat,kellymariebat,,0,0,0,0,0,0,0,0
viceworldnews,viceworldnews,,0,0,0,0,0,0,0,0
babyblujay,babyblujay,,0,0,0,0,0,0,0,0
wolfrum,wolfrum,,0,0,0,0,0,0,0,0
bluenextwaves,bluenextwaves,,0,0,0,0,0,0,0,0
arge1983,arge1983,,0,0,0,0,0,0,0,0
sussexevent,sussexevent,,0,0,0,0,0,0,0,0
smileyval05,smileyval05,,0,0,0,0,0,0,0,0
dianedaisy1,dianedaisy1,,0,0,0,0,0,0,0,0
lanesborough77,lanesborough77,,0,0,0,0,0,0,0,0
iturd4,iturd4,,0,0,0,0,0,0,0,0
eily1978,eily1978,,0,0,0,0,0,0,0,0
awokenfbpe,awokenfbpe,,0,0,0,0,0,0,0,0
drayaugusta,drayaugusta,,0,0,0,0,0,0,0,0
aprilabrown1,aprilabrown1,,0,0,0,0,0,0,0,0
a_diener,a_diener,,0,0,0,0,0,0,0,0
jeremycorbyn,jeremycorbyn,,0,0,0,0,0,0,0,0
tillymooze,tillymooze,,0,0,0,0,0,0,0,0
martynccr,martynccr,,0,0,0,0,0,0,0,0
ned_donovan,ned_donovan,,0,0,0,0,0,0,0,0
ellemagazine,ellemagazine,,0,0,0,0,0,0,0,0
ajansev2011,ajansev2011,,0,0,0,0,0,0,0,0
yellowwhiteman,yellowwhiteman,,0,0,0,0,0,0,0,0
flashbloglive,flashbloglive,,0,0,0,0,0,0,0,0
1412kitkat,1412kitkat,,0,0,0,0,0,0,0,0
baggyann85,baggyann85,,0,0,0,0,0,0,0,0
jamiedezgray,jamiedezgray,,0,0,0,0,0,0,0,0
lunarosehd,lunarosehd,,0,0,0,0,0,0,0,0
thetimes,thetimes,,0,0,0,0,0,0,0,0
peteyr13,peteyr13,,0,0,0,0,0,0,0,0
voxpopu07251706,voxpopu07251706,,0,0,0,0,0,0,0,0
moray1959,moray1959,,0,0,0,0,0,0,0,0
goddessroc,goddessroc,,0,0,0,0,0,0,0,0
phyllisbrother1,phyllisbrother1,,2,0.666667,0.75,2,17,1,1,2
alygetreal,alygetreal,,0,0,0,0,0,0,0,0
backandbad,backandbad,,0,0,0,0,0,0,0,0
mk1955,mk1955,,0,0,0,0,0,0,0,0
guardiannews,guardiannews,,0,0,0,0,0,0,0,0
kinaalli,kinaalli,,0,0,0,0,0,0,0,0
success4sussexs,success4sussexs,,0,0,0,0,0,0,0,0
pheonixatdusk,pheonixatdusk,,0,0,0,0,0,0,0,0
5dragons,5dragons,,0,0,0,0,0,0,0,0
beppatweets,beppatweets,,0,0,0,0,0,0,0,0
bettyja08291909,bettyja08291909,,0,0,0,0,0,0,0,0
ianamarks16,ianamarks16,,0,0,0,0,0,0,0,0
sandrameier7,sandrameier7,,0,0,0,0,0,0,0,0
garyshutts,garyshutts,,0,0,0,0,0,0,0,0
allison05425117,allison05425117,,0,0,0,0,0,0,0,0
lyndoa,lyndoa,,0,0,0,0,0,0,0,0
mattdoble89,mattdoble89,,0,0,0,0,0,0,0,0
doraexplorah,doraexplorah,,0,0,0,0,0,0,0,0
lovethegooners,lovethegooners,,0,0,0,0,0,0,0,0
bloke_on_a_bike,bloke_on_a_bike,,0,0,0,0,0,0,0,0
allen_bronia,allen_bronia,,0,0,0,0,0,0,0,0
kimyaries,kimyaries,,0,0,0,0,0,0,0,0
secheryk,secheryk,,0,0,0,0,0,0,0,0
martynisthebest,martynisthebest,,0,0,0,0,0,0,0,0
lizlee95356044,lizlee95356044,,0,0,0,0,0,0,0,0
robinsamuels525,robinsamuels525,,0,0,0,0,0,0,0,0
talespan,talespan,,0,0,0,0,0,0,0,0
miasertima,miasertima,,0,0,0,0,0,0,0,0
brownc555,brownc555,,0,0,0,0,0,0,0,0
hello_to_thou,hello_to_thou,,0,0,0,0,0,0,0,0
mirrorroyal,mirrorroyal,,0,0,0,0,7,2,0,2
zebrajacket,zebrajacket,,0,0,0,0,0,0,0,0
jevevoudire,jevevoudire,,0,0,0,0,0,0,0,0
rtlinfo,rtlinfo,,0,0,0,0,0,0,0,0
lbc,lbc,,0,0,0,0,0,0,0,0
malcolmsh,malcolmsh,,0,0,0,0,0,0,0,0
blahblahblah_7,blahblahblah_7,,0,0,0,0,0,0,0,0
eccomiquaamici,eccomiquaamici,,0,0,0,0,0,0,0,0
suisseflughafen,suisseflughafen,,0,0,0,0,0,0,0,0
